City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,ilhabela,-23.7781,-45.3581,292.41,88,97,5.86,BR,1689896962
337,wokha,26.1,94.2667,290.02,95,100,1.29,IN,1689896962
338,wagar,16.1525,36.2032,303.83,46,80,6.87,SD,1689896962
339,ambalangoda,6.2355,80.0538,299.7,86,63,5.17,LK,1689896963
340,kruisfontein,-34.0033,24.7314,282.53,66,1,3.97,ZA,1689896963
341,tsengel,49.4783,100.8894,287.78,78,35,1.1,MN,1689896964
342,labytnangi,66.6572,66.4183,291.27,90,79,0.93,RU,1689896965
343,muroto-misakicho,33.2833,134.15,299.61,75,100,3.4,JP,1689896965
344,nova sintra,14.8667,-24.7167,296.39,86,19,5.28,CV,1689896966
345,baiti,13.745,-14.7482,299.61,84,98,2.91,SN,1689896967
346,north bend,43.4065,-124.2243,298.84,72,20,6.69,US,1689896969
347,larisa,39.6372,22.4203,300.4,57,20,0.0,GR,1689896707
348,huamachuco,-7.8,-78.0667,285.17,63,68,2.89,PE,1689896970
349,timbuktu,16.7735,-3.0074,308.09,34,46,6.31,ML,1689896971
350,la ronge,55.1001,-105.2842,297.29,43,75,4.12,CA,1689896972
351,taksimo,56.3444,114.8794,288.44,69,44,0.57,RU,1689896973
352,okha,53.5739,142.9478,286.15,89,100,5.26,RU,1689896974
353,fort riley north,39.1108,-96.8139,301.87,56,20,3.6,US,1689896975
354,shimoda,34.6667,138.95,298.35,76,82,4.86,JP,1689896976
355,praia,14.9215,-23.5087,300.45,78,40,2.57,CV,1689896977
356,aral,40.5156,81.2636,302.43,24,39,2.74,CN,1689896979
357,berriane,32.8265,3.7669,308.6,12,7,4.43,DZ,1689896981
358,naze,28.3667,129.4833,300.66,74,100,3.79,JP,1689896982
359,hirara,24.8,125.2833,303.07,79,75,3.6,JP,1689896985
360,fort irwin,35.2627,-116.6848,316.05,9,0,6.17,US,1689896987
361,wamba,8.9333,8.6,295.69,96,83,1.91,NG,1689896987
362,kawardha,22.0167,81.25,300.5,79,99,1.09,IN,1689896987
363,anshun,26.25,105.9333,292.46,98,82,2.05,CN,1689896826
